std_smiles,CHEMBL1075317.csv,CHEMBL1163125.csv,CHEMBL1795116.csv,CHEMBL1829.csv,CHEMBL1865.csv,CHEMBL1937.csv,CHEMBL1993.csv,CHEMBL2157850.csv,CHEMBL2169716.csv,CHEMBL2185.csv,CHEMBL2189110.csv,CHEMBL2424504.csv,CHEMBL2563.csv,CHEMBL2971.csv,CHEMBL301.csv,CHEMBL3045.csv,CHEMBL3055.csv,CHEMBL308.csv,CHEMBL3105.csv,CHEMBL3142.csv,CHEMBL3192.csv,CHEMBL325.csv,CHEMBL3524.csv,CHEMBL3774295.csv,CHEMBL4036.csv,CHEMBL4145.csv,CHEMBL4630.csv,CHEMBL4722.csv,CHEMBL5024.csv,CHEMBL5406.csv,CHEMBL5747.csv,CHEMBL5776.csv,CHEMBL5921.csv,CHEMBL6032.csv,CHEMBL6136.csv,CHEMBL6175.csv
C[C@@H]1COCCN1c1cc(C2CCN(S(C)(=O)=O)CC2)nc(-c2ccnc3[nH]ccc23)n1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
COc1cc(N2C(=O)c3nc(C4=CCN(C)CC4)n(C(C)C)c3C2c2ccc(Cl)cc2)cc2c1nnn2C,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
COc1ccc(Nc2cc3c(-c4cnn(C)c4)cccc3cn2)cc1,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
CO[C@H]1CN(c2ccn(-c3cc(-c4c(F)cccc4C#N)nc4c3C(=O)NC4)n2)C[C@@]1(C)O,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
N#Cc1ccc(N2CCN(C(=O)CCc3nc(=O)c4ccccc4[nH]3)CC2)nc1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
C=CC(=O)Nc1cccc(CNc2nc(Nc3cnn(C4CCN(C(=O)CC5[C@H]6CC7C[C@H](C6)C[C@H]5C7)CC4)c3)ncc2Cl)c1,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
Cc1cccc(C(=O)N[C@H]2C[C@@H](n3cnc4c(NCc5ccc(F)cc5)ncnc43)C2)n1,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
CC(C)OC(=O)N1CCC(CC#N)(n2nc(Nc3ccc(S(=O)(=O)N(C)C)cc3)c3c(=O)[nH]ccc32)CC1,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
CNCc1ccc(-c2nnc(-c3nc(-c4ccc([S+]([O-])NCCO)cc4)cnc3N)o2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Cc1cc(N2C(=O)c3c(C4CC4)nn(-c4ccnn4C)c3C2c2ccc(Cl)cc2)nn2c(C)nnc12,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
